"","Country","Method","Energy.type","Last.stage","Unit","Machine","Eu.product","Quantity","Maximum.values","Year","eta"
"1","CHN","PCM","E","Final","ktoe","Industrial electric motors","MD","eta.fu",NA,"1960",NA
"2","CHN","PCM","E","Final","ktoe","Diesel cars","MD","eta.fu",NA,"1960",NA
"3","CHN","PCM","E","Final","ktoe","Petrol cars","MD","eta.fu",NA,"1960",NA
"4","CHN","PCM","E","Final","ktoe","Tractors","MD","eta.fu",NA,"1960",NA
"5","CHN","PCM","E","Final","ktoe","Industry static diesel engines","MD","eta.fu",NA,"1960",NA
"6","CHN","PCM","E","Final","ktoe","Steam (coal) trains","MD","eta.fu",NA,"1960",NA
"7","CHN","PCM","E","Final","ktoe","Boat engines","MD","eta.fu",NA,"1960",NA
"8","CHN","PCM","E","Final","ktoe","Airplanes","MD","eta.fu",NA,"1960",NA
"9","CHN","PCM","E","Final","ktoe","Diesel trains","MD","eta.fu",NA,"1960",NA
"10","CHN","PCM","E","Final","ktoe","Electric trains","MD","eta.fu",NA,"1960",NA
"11","CHN","PCM","E","Final","ktoe","Electric cars","MD","eta.fu",NA,"1960",NA
"12","CHN","PCM","E","Final","ktoe","Biogasoline cars","MD","eta.fu",NA,"1960",NA
"13","CHN","PCM","E","Final","ktoe","Commercial electric motors","MD","eta.fu",NA,"1960",NA
"14","CHN","PCM","E","Final","ktoe","Domestic electric motors","MD","eta.fu",NA,"1960",NA
"15","CHN","PCM","E","Final","ktoe","Biodiesel cars","MD","eta.fu",NA,"1960",NA
"16","CHN","PCM","E","Final","ktoe","Industry static gas engines","MD","eta.fu",NA,"1960",NA
"17","CHN","PCM","E","Final","ktoe","Steam (coal) boats","MD","eta.fu",NA,"1960",NA
"18","CHN","PCM","E","Final","ktoe","Electric lights","Light","eta.fu",NA,"1960",NA
"19","CHN","PCM","E","Final","ktoe","Town gas light","Light","eta.fu",NA,"1960",NA
"20","CHN","PCM","E","Final","ktoe","Coal/Oil Light","Light","eta.fu",NA,"1960",NA
"21","CHN","PCM","E","Final","ktoe","Industrial heat/furnace","HTH.600.C","eta.fu",NA,"1960",NA
"22","CHN","PCM","E","Final","ktoe","Heat T assignment","HTH.600.C","eta.fu",NA,"1960",NA
"23","CHN","PCM","E","Final","ktoe","Industrial heat/furnace","MTH.200.C","eta.fu",NA,"1960",NA
"24","CHN","PCM","E","Final","ktoe","Industrial electric heaters","MTH.200.C","eta.fu",NA,"1960",NA
"25","CHN","PCM","E","Final","ktoe","Heat T assignment","MTH.200.C","eta.fu",NA,"1960",NA
"26","CHN","PCM","E","Final","ktoe","Industrial heat/furnace","MTH.100.C","eta.fu",NA,"1960",NA
"27","CHN","PCM","E","Final","ktoe","Industrial electric heaters","MTH.100.C","eta.fu",NA,"1960",NA
"28","CHN","PCM","E","Final","ktoe","Heat T assignment","MTH.100.C","eta.fu",NA,"1960",NA
"29","CHN","PCM","E","Final","ktoe","Commercial electric heaters","MTH.100.C","eta.fu",NA,"1960",NA
"30","CHN","PCM","E","Final","ktoe","Domestic electric heaters","MTH.100.C","eta.fu",NA,"1960",NA
"31","CHN","PCM","E","Final","ktoe","Domestic electric heaters","LTH.50.C","eta.fu",NA,"1960",NA
"32","CHN","PCM","E","Final","ktoe","Domestic heat/furnace","LTH.20.C","eta.fu",NA,"1960",NA
"33","CHN","PCM","E","Final","ktoe","Air conditioners","LTH.20.C","eta.fu",NA,"1960",NA
"34","CHN","PCM","E","Final","ktoe","Commercial heat/furnace","LTH.20.C","eta.fu",NA,"1960",NA
"35","CHN","PCM","E","Final","ktoe","Industrial heat/furnace","LTH.20.C","eta.fu",NA,"1960",NA
"36","CHN","PCM","E","Final","ktoe","Domestic electric heaters","LTH.20.C","eta.fu",NA,"1960",NA
"37","CHN","PCM","E","Final","ktoe","Heat T assignment","LTH.20.C","eta.fu",NA,"1960",NA
"38","CHN","PCM","E","Final","ktoe","Commercial electric heaters","LTH.20.C","eta.fu",NA,"1960",NA
"39","CHN","PCM","E","Final","ktoe","Refrigerators","LTH.0.C","eta.fu",NA,"1960",NA
"40","CHN","PCM","E","Final","ktoe","Non-energy","Bitumen","eta.fu",NA,"1960",NA
"41","CHN","PCM","E","Final","ktoe","Non-energy","Coal tar","eta.fu",NA,"1960",NA
"42","CHN","PCM","E","Final","ktoe","Non-energy","Coke oven coke","eta.fu",NA,"1960",NA
"43","CHN","PCM","E","Final","ktoe","Non-energy","Coke oven gas","eta.fu",NA,"1960",NA
"44","CHN","PCM","E","Final","ktoe","Non-energy","Coking coal [of Coal mines]","eta.fu",NA,"1960",NA
"45","CHN","PCM","E","Final","ktoe","Non-energy","Crude oil [of Oil and gas extraction]","eta.fu",NA,"1960",NA
"46","CHN","PCM","E","Final","ktoe","Non-energy","Electricity","eta.fu",NA,"1960",NA
"47","CHN","PCM","E","Final","ktoe","Electrolytic machines","Electrolysis","eta.fu",NA,"1960",NA
"48","CHN","PCM","E","Final","ktoe","Electronic devices","Electronics","eta.fu",NA,"1960",NA
"49","CHN","PCM","E","Final","ktoe","Non-energy","Fuel oil","eta.fu",NA,"1960",NA
"50","CHN","PCM","E","Final","ktoe","Non-energy","Gas/diesel oil excl. biofuels","eta.fu",NA,"1960",NA
"51","CHN","PCM","E","Final","ktoe","Non-energy","Liquefied petroleum gases (LPG)","eta.fu",NA,"1960",NA
"52","CHN","PCM","E","Final","ktoe","Non-energy","Lubricants","eta.fu",NA,"1960",NA
"53","CHN","PCM","E","Final","ktoe","Non-energy","Motor gasoline excl. biofuels","eta.fu",NA,"1960",NA
"54","CHN","PCM","E","Final","ktoe","Non-energy","Naphtha","eta.fu",NA,"1960",NA
"55","CHN","PCM","E","Final","ktoe","Non-energy","Natural gas [of Oil and gas extraction]","eta.fu",NA,"1960",NA
"56","CHN","PCM","E","Final","ktoe","Non-energy","Other bituminous coal [of Coal mines]","eta.fu",NA,"1960",NA
"57","CHN","PCM","E","Final","ktoe","Non-energy","Other kerosene","eta.fu",NA,"1960",NA
"58","CHN","PCM","E","Final","ktoe","Non-energy","Other oil products","eta.fu",NA,"1960",NA
"59","CHN","PCM","E","Final","ktoe","Non-energy","Paraffin waxes","eta.fu",NA,"1960",NA
"60","CHN","PCM","E","Final","ktoe","Non-energy","Patent fuel","eta.fu",NA,"1960",NA
"61","CHN","PCM","E","Final","ktoe","Non-energy","Petroleum coke","eta.fu",NA,"1960",NA
"62","CHN","PCM","E","Final","ktoe","Non-energy","Refinery gas","eta.fu",NA,"1960",NA
"63","CHN","PCM","E","Final","ktoe","Non-energy","White spirit & SBP","eta.fu",NA,"1960",NA
"64","ESP","PCM","E","Final","ktoe","Diesel cars","MD","eta.fu",NA,"1960",0.177438449044466
"65","ESP","PCM","E","Final","ktoe","Petrol cars","MD","eta.fu",NA,"1960",0.141950759235573
"66","ESP","PCM","E","Final","ktoe","Boat engines","MD","eta.fu",NA,"1960",0.111341072926503
"67","ESP","PCM","E","Final","ktoe","Diesel trains","MD","eta.fu",NA,"1960",0.111341072926503
"68","ESP","PCM","E","Final","ktoe","Steam (coal) trains","MD","eta.fu",NA,"1960",0.0219043450497675
"69","ESP","PCM","E","Final","ktoe","Domestic appliances","MD","eta.fu",NA,"1960",0.746828460054971
"70","ESP","PCM","E","Final","ktoe","Industrial electric motors","MD","eta.fu",NA,"1960",0.775
"71","ESP","PCM","E","Final","ktoe","Tractors","MD","eta.fu",NA,"1960",0.0887192245222331
"72","ESP","PCM","E","Final","ktoe","Airplanes","MD","eta.fu",NA,"1960",0.170866278883967
"73","ESP","PCM","E","Final","ktoe","Commercial electric motors","MD","eta.fu",NA,"1960",0.7875
"74","ESP","PCM","E","Final","ktoe","Domestic electric motors","MD","eta.fu",NA,"1960",0.6875
