Exiobase.Flow,PFU.flow,Final.energy.flow,Useful.energy.flow
Production,Not relevant,FALSE,FALSE
Imports,Not relevant,FALSE,FALSE
Exports,Not relevant,FALSE,FALSE
International marine bunkers,Not relevant,FALSE,FALSE
International aviation bunkers,Not relevant,FALSE,FALSE
Total energy supply,Not relevant,FALSE,FALSE
Total energy supply; Transfers,Not relevant,FALSE,FALSE
Total energy supply; Transformation processes,Not relevant,FALSE,FALSE
Total energy supply; Transformation processes; Main activity producer electricity plants,Not relevant,FALSE,FALSE
Total energy supply; Transformation processes; Autoproducer electricity plants,Not relevant,FALSE,FALSE
Total energy supply; Transformation processes; Main activity producer CHP plants,Not relevant,FALSE,FALSE
Total energy supply; Transformation processes; Autoproducer CHP plants,Not relevant,FALSE,FALSE
Total energy supply; Transformation processes; Main activity producer heat plants,Not relevant,FALSE,FALSE
Total energy supply; Transformation processes; Autoproducer heat plants,Not relevant,FALSE,FALSE
Total energy supply; Transformation processes; Heat pumps,Not relevant,FALSE,FALSE
Total energy supply; Transformation processes; Electric boilers,Not relevant,FALSE,FALSE
Total energy supply; Transformation processes; Chemical heat for electricity production,Not relevant,FALSE,FALSE
Total energy supply; Transformation processes; Blast furnaces,Not relevant,FALSE,FALSE
Total energy supply; Transformation processes; Gas works,Not relevant,FALSE,FALSE
Total energy supply; Transformation processes; Coke ovens,Not relevant,FALSE,FALSE
Total energy supply; Transformation processes; Patent fuel plants,Not relevant,FALSE,FALSE
Total energy supply; Transformation processes; BKB/peat briquette plants,Not relevant,FALSE,FALSE
Total energy supply; Transformation processes; Oil refineries,Not relevant,FALSE,FALSE
Total energy supply; Transformation processes; Petrochemical plants,Not relevant,FALSE,FALSE
Total energy supply; Transformation processes; Coal liquefaction plants,Not relevant,FALSE,FALSE
Total energy supply; Transformation processes; Gas-to-liquids (GTL) plants,Not relevant,FALSE,FALSE
Total energy supply; Transformation processes; For blended natural gas,Not relevant,FALSE,FALSE
Total energy supply; Transformation processes; Charcoal production plants,Not relevant,FALSE,FALSE
Total energy supply; Transformation processes; Non-specified (transformation),Not relevant,FALSE,FALSE
Total energy supply; Energy industry own use,Not relevant,FALSE,FALSE
Total energy supply; Energy industry own use; Coal mines,Coal mines,TRUE,TRUE
Total energy supply; Energy industry own use; Oil and gas extraction,Oil extraction,TRUE,TRUE
Total energy supply; Energy industry own use; Blast furnaces,Blast furnaces,TRUE,TRUE
Total energy supply; Energy industry own use; Gas works,Gas works,TRUE,TRUE
Total energy supply; Energy industry own use; Gasification plants for biogases,Gas works,TRUE,TRUE
Total energy supply; Energy industry own use; Coke ovens,Coke ovens,TRUE,TRUE
Total energy supply; Energy industry own use; Patent fuel plants,Patent fuel plant,TRUE,TRUE
Total energy supply; Energy industry own use; BKB/peat briquette plants,BKB/peat briquette plants,TRUE,TRUE
Total energy supply; Energy industry own use; Oil refineries,Oil refineries,TRUE,TRUE
Total energy supply; Energy industry own use; Coal liquefaction plants,Coal liquefaction plants,TRUE,TRUE
Total energy supply; Energy industry own use; Liquefaction (LNG) / regasification plants,Natural gas extraction,TRUE,TRUE
Total energy supply; Energy industry own use; Gas-to-liquids (GTL) plants,Gas-to-liquids (GTL) plants,TRUE,TRUE
"Total energy supply; Energy industry own use; Own use in electricity, CHP and heat plants",Main activity producer electricity plants,TRUE,TRUE
Total energy supply; Energy industry own use; Pumped storage plants,Main activity producer electricity plants,TRUE,TRUE
Total energy supply; Energy industry own use; Nuclear industry,Nuclear industry,TRUE,TRUE
Total energy supply; Energy industry own use; Charcoal production plants,Charcoal production plants,TRUE,TRUE
Total energy supply; Energy industry own use; Non-specified (energy),Main activity producer electricity plants,TRUE,TRUE
Total energy supply; Losses,Not relevant,TRUE,FALSE
Total energy supply; Total final consumption,Not relevant,FALSE,FALSE
Total energy supply; Total final consumption; Industry,Not relevant,FALSE,FALSE
Total energy supply; Total final consumption; Industry; Mining and quarrying,Mining and quarrying,TRUE,TRUE
Total energy supply; Total final consumption; Industry; Construction,Construction,TRUE,TRUE
Total energy supply; Total final consumption; Industry; Manufacturing,Not relevant,FALSE,FALSE
Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel,Iron and steel,TRUE,TRUE
Total energy supply; Total final consumption; Industry; Manufacturing; Chemical and petrochemical,Chemical and petrochemical,TRUE,TRUE
Total energy supply; Total final consumption; Industry; Manufacturing; Non-ferrous metals,Non-ferrous metals,TRUE,TRUE
Total energy supply; Total final consumption; Industry; Manufacturing; Non-metallic minerals,Non-metallic minerals,TRUE,TRUE
Total energy supply; Total final consumption; Industry; Manufacturing; Transport equipment,Transport equipment,TRUE,TRUE
Total energy supply; Total final consumption; Industry; Manufacturing; Machinery,Machinery,TRUE,TRUE
Total energy supply; Total final consumption; Industry; Manufacturing; Food and tobacco,Food and tobacco,TRUE,TRUE
"Total energy supply; Total final consumption; Industry; Manufacturing; Paper, pulp and printing","Paper, pulp and printing",TRUE,TRUE
Total energy supply; Total final consumption; Industry; Manufacturing; Wood and wood products,Wood and wood products,TRUE,TRUE
Total energy supply; Total final consumption; Industry; Manufacturing; Textile and leather,Textile and leather,TRUE,TRUE
Total energy supply; Total final consumption; Industry; Industry not elsewhere specified,Industry not elsewhere specified,TRUE,TRUE
Total energy supply; Total final consumption; Transport,Not relevant,FALSE,FALSE
Total energy supply; Total final consumption; Transport; World aviation bunkers,World aviation bunkers,TRUE,TRUE
Total energy supply; Total final consumption; Transport; Domestic aviation,Domestic aviation,TRUE,TRUE
Total energy supply; Total final consumption; Transport; Road,Road,TRUE,TRUE
Total energy supply; Total final consumption; Transport; Rail,Rail,TRUE,TRUE
Total energy supply; Total final consumption; Transport; Pipeline transport,Pipeline transport,TRUE,TRUE
Total energy supply; Total final consumption; Transport; World marine bunkers,World marine bunkers,TRUE,TRUE
Total energy supply; Total final consumption; Transport; Domestic navigation,Domestic navigation,TRUE,TRUE
Total energy supply; Total final consumption; Transport; Transport not elsewhere specified,Transport not elsewhere specified,TRUE,TRUE
Total energy supply; Total final consumption; Residential,Residential,TRUE,TRUE
Total energy supply; Total final consumption; Commercial and public services,Commercial and public services,TRUE,TRUE
Total energy supply; Total final consumption; Agriculture/forestry,Agriculture/forestry,TRUE,TRUE
Total energy supply; Total final consumption; Fishing,Fishing,TRUE,TRUE
Total energy supply; Total final consumption; Final consumption not elsewhere specified,Final consumption not elsewhere specified,TRUE,TRUE
Total energy supply; Total final consumption; Non-energy use,Not relevant,FALSE,FALSE
Total energy supply; Total final consumption; Non-energy use; Non-energy use industry/transformation/energy,Not relevant,TRUE,FALSE
Total energy supply; Total final consumption; Non-energy use; Non-energy use industry/transformation/energy; Memo: Non-energy use in industry,Not relevant,FALSE,FALSE
Total energy supply; Total final consumption; Non-energy use; Non-energy use industry/transformation/energy; Memo: Non-energy use in industry; Memo: Non-energy use in construction,Not relevant,FALSE,FALSE
Total energy supply; Total final consumption; Non-energy use; Non-energy use industry/transformation/energy; Memo: Non-energy use in industry; Memo: Non-energy use in mining and quarrying,Not relevant,FALSE,FALSE
Total energy supply; Total final consumption; Non-energy use; Non-energy use industry/transformation/energy; Memo: Non-energy use in industry; Memo: Non-energy use in iron and steel,Not relevant,FALSE,FALSE
Total energy supply; Total final consumption; Non-energy use; Non-energy use industry/transformation/energy; Memo: Non-energy use in industry; Memo: Non-energy use in chemical/petrochemical,Not relevant,FALSE,FALSE
Total energy supply; Total final consumption; Non-energy use; Non-energy use industry/transformation/energy; Memo: Non-energy use in industry; Memo: Non-energy use in non-ferrous metals,Not relevant,FALSE,FALSE
Total energy supply; Total final consumption; Non-energy use; Non-energy use industry/transformation/energy; Memo: Non-energy use in industry; Memo: Non-energy use in non-metallic minerals,Not relevant,FALSE,FALSE
Total energy supply; Total final consumption; Non-energy use; Non-energy use industry/transformation/energy; Memo: Non-energy use in industry; Memo: Non-energy use in transport equipment,Not relevant,FALSE,FALSE
Total energy supply; Total final consumption; Non-energy use; Non-energy use industry/transformation/energy; Memo: Non-energy use in industry; Memo: Non-energy use in machinery,Not relevant,FALSE,FALSE
Total energy supply; Total final consumption; Non-energy use; Non-energy use industry/transformation/energy; Memo: Non-energy use in industry; Memo: Non-energy use in food/beverages/tobacco,Not relevant,FALSE,FALSE
